sample	experiment	wxs_file_name	wxs_file_uuid	mzml_files	mzml_path	fusion
01CPTAC_BCprospective_Proteome_BC_20160911_01BR017	01CPTAC_BCprospective_Proteome_BC_20160911	01BR017.bam	b821eb79-d58b-4255-9ea1-b4548ed20a39	01CPTAC_BCprospective_W_BI_20160911_BL_f09.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f08.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f10.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f07.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f20.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f11.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f02.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f22.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f05.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f24.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f01.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f04.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f19.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f21.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_fA.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f17.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f23.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f13.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f12.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f16.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f06.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f18.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f15.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f14.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f03.mzML.gz	/path/to/01CPTAC_BCprospective_Proteome_BC_20160911.tgz	fusion/01BR017/fusions.tsv
01CPTAC_BCprospective_Proteome_BC_20160911_06BR003	01CPTAC_BCprospective_Proteome_BC_20160911	06BR003.bam	b3b7619c-aa7c-4c71-a8f9-ccae4492de52	01CPTAC_BCprospective_W_BI_20160911_BL_f09.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f08.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f10.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f07.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f20.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f11.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f02.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f22.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f05.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f24.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f01.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f04.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f19.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f21.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_fA.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f17.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f23.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f13.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f12.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f16.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f06.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f18.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f15.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f14.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f03.mzML.gz	/path/to/01CPTAC_BCprospective_Proteome_BC_20160911.tgz	fusion/06BR003/fusions.tsv
01CPTAC_BCprospective_Proteome_BC_20160911_11BR023	01CPTAC_BCprospective_Proteome_BC_20160911	11BR023.bam	6a182735-4233-4966-b4aa-5d84566c635d	01CPTAC_BCprospective_W_BI_20160911_BL_f09.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f08.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f10.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f07.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f20.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f11.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f02.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f22.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f05.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f24.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f01.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f04.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f19.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f21.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_fA.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f17.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f23.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f13.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f12.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f16.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f06.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f18.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f15.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f14.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f03.mzML.gz	/path/to/01CPTAC_BCprospective_Proteome_BC_20160911.tgz	fusion/11BR023/fusions.tsv
01CPTAC_BCprospective_Proteome_BC_20160911_11BR043	01CPTAC_BCprospective_Proteome_BC_20160911	11BR043.bam	f6fc801b-bac5-4270-9ffd-ee242eca8a6e	01CPTAC_BCprospective_W_BI_20160911_BL_f09.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f08.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f10.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f07.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f20.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f11.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f02.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f22.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f05.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f24.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f01.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f04.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f19.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f21.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_fA.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f17.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f23.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f13.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f12.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f16.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f06.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f18.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f15.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f14.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f03.mzML.gz	/path/to/01CPTAC_BCprospective_Proteome_BC_20160911.tgz	fusion/11BR043/fusions.tsv
01CPTAC_BCprospective_Proteome_BC_20160911_11BR047	01CPTAC_BCprospective_Proteome_BC_20160911	11BR047.bam	5b4f9140-d9ce-49de-99bd-476abdedb8fc	01CPTAC_BCprospective_W_BI_20160911_BL_f09.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f08.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f10.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f07.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f20.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f11.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f02.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f22.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f05.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f24.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f01.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f04.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f19.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f21.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_fA.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f17.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f23.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f13.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f12.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f16.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f06.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f18.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f15.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f14.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f03.mzML.gz	/path/to/01CPTAC_BCprospective_Proteome_BC_20160911.tgz	fusion/11BR047/fusions.tsv
01CPTAC_BCprospective_Proteome_BC_20160911_11BR049	01CPTAC_BCprospective_Proteome_BC_20160911	11BR049.bam	9cabaa24-8208-42fb-b661-b5fbf9a5a7e9	01CPTAC_BCprospective_W_BI_20160911_BL_f09.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f08.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f10.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f07.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f20.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f11.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f02.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f22.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f05.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f24.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f01.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f04.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f19.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f21.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_fA.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f17.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f23.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f13.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f12.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f16.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f06.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f18.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f15.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f14.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f03.mzML.gz	/path/to/01CPTAC_BCprospective_Proteome_BC_20160911.tgz	fusion/11BR049/fusions.tsv
01CPTAC_BCprospective_Proteome_BC_20160911_11BR074	01CPTAC_BCprospective_Proteome_BC_20160911	11BR074.bam	c4711d25-6141-447a-a10c-023821e2f9aa	01CPTAC_BCprospective_W_BI_20160911_BL_f09.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f08.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f10.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f07.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f20.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f11.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f02.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f22.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f05.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f24.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f01.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f04.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f19.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f21.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_fA.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f17.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f23.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f13.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f12.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f16.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f06.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f18.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f15.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f14.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f03.mzML.gz	/path/to/01CPTAC_BCprospective_Proteome_BC_20160911.tgz	fusion/11BR074/fusions.tsv
01CPTAC_BCprospective_Proteome_BC_20160911_18BR010	01CPTAC_BCprospective_Proteome_BC_20160911	18BR010.bam	54e60100-87ce-4ff0-9b0f-806318dd9b0a	01CPTAC_BCprospective_W_BI_20160911_BL_f09.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f08.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f10.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f07.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f20.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f11.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f02.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f22.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f05.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f24.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f01.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f04.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f19.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f21.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_fA.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f17.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f23.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f13.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f12.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f16.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f06.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f18.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f15.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f14.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f03.mzML.gz	/path/to/01CPTAC_BCprospective_Proteome_BC_20160911.tgz	fusion/18BR010/fusions.tsv
01CPTAC_BCprospective_Proteome_BC_20160911_18BR017	01CPTAC_BCprospective_Proteome_BC_20160911	18BR017.bam	148ecffa-64c0-4ac2-ae12-b7d987562191	01CPTAC_BCprospective_W_BI_20160911_BL_f09.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f08.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f10.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f07.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f20.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f11.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f02.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f22.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f05.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f24.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f01.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f04.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f19.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f21.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_fA.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f17.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f23.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f13.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f12.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f16.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f06.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f18.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f15.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f14.mzML.gz;01CPTAC_BCprospective_W_BI_20160911_BL_f03.mzML.gz	/path/to/01CPTAC_BCprospective_Proteome_BC_20160911.tgz	fusion/18BR017/fusions.tsv
02CPTAC_BCprospective_Proteome_BC_20160913_01BR001	02CPTAC_BCprospective_Proteome_BC_20160913	01BR001.bam	26fd0972-14c0-4365-8fce-7f309a77d1bf	02CPTAC_BCprospective_W_BI_20160913_BL_f19.mzML.gz;02CPTAC_BCprospective_W_BI_20160913_BL_f18.mzML.gz;02CPTAC_BCprospective_W_BI_20160913_BL_f08.mzML.gz;02CPTAC_BCprospective_W_BI_20160913_BL_fA.mzML.gz;02CPTAC_BCprospective_W_BI_20160913_BL_f15.mzML.gz;02CPTAC_BCprospective_W_BI_20160913_BL_f23.mzML.gz;02CPTAC_BCprospective_W_BI_20160913_BL_f02.mzML.gz;02CPTAC_BCprospective_W_BI_20160913_BL_f04.mzML.gz;02CPTAC_BCprospective_W_BI_20160913_BL_f11.mzML.gz;02CPTAC_BCprospective_W_BI_20160913_BL_f06.mzML.gz;02CPTAC_BCprospective_W_BI_20160913_BL_f10.mzML.gz;02CPTAC_BCprospective_W_BI_20160913_BL_f17.mzML.gz;02CPTAC_BCprospective_W_BI_20160913_BL_f24.mzML.gz;02CPTAC_BCprospective_W_BI_20160913_BL_f09.mzML.gz;02CPTAC_BCprospective_W_BI_20160913_BL_f07.mzML.gz;02CPTAC_BCprospective_W_BI_20160913_BL_f13.mzML.gz;02CPTAC_BCprospective_W_BI_20160913_BL_f03.mzML.gz;02CPTAC_BCprospective_W_BI_20160913_BL_f22.mzML.gz;02CPTAC_BCprospective_W_BI_20160913_BL_f20.mzML.gz;02CPTAC_BCprospective_W_BI_20160913_BL_f05.mzML.gz;02CPTAC_BCprospective_W_BI_20160913_BL_f12.mzML.gz;02CPTAC_BCprospective_W_BI_20160913_BL_f16.mzML.gz;02CPTAC_BCprospective_W_BI_20160913_BL_f14.mzML.gz;02CPTAC_BCprospective_W_BI_20160913_BL_f01.mzML.gz;02CPTAC_BCprospective_W_BI_20160913_BL_f21.mzML.gz	/path/to/02CPTAC_BCprospective_Proteome_BC_20160913.tgz	fusion/01BR001/fusions.tsv
